review,rating,date
"Bentuk dan ukuran: Bentuknya bagus banget,bahannya halus gk kliatan murahan ukuran pas sz 38.pokoknya cakep banget pas d pake👌🏻👍🏻👍🏻",bintang 5,1 bulan lalu
Bagus Brangnya sesuai smga awet kualitasnya bagus👍,bintang 5,3 bulan lalu
"Bagus sesuai harga, cuma aga ngeri jebol krn bawahnya di lem bukan dijahit, tp smg awet yaa. Terima kasih",bintang 5,5 bulan lalu
"Sukak, hrg murah tp kualitas OK. 
Warna nya hitam pekat. 
Dpt harga miring bgt lagi, dpt diskon ini itu.
Cm ukuran nya agak besar, pd hal biasa pakai sz 38. Tp msh OK.  G...",bintang 5,4 bulan lalu
"bagus bangeeet dalemnya halus, nyaman deh dipake 😍",bintang 5,
"Barangnya ud sampe, ukuran Pas, warna sesuai, bahan lembut enak di pakenya ga sakit empuk, kurirnya ramah 👍",bintang 5,5 bulan lalu
"Keseluruhan bagus & sesuai foto & harga, saran aku sih buat kaki gemoy pisang goreng lebar &kaki bontot kek aku mending naik 1 size ya 😍selebihnya ok 😍👌",bintang 5,1 bulan lalu
"Bentuk dan ukuran: 38
Warna: hitam
Daya tahan pakai: kuat bagus banget",bintang 5,3 hari lalu
"Bagusss bgt boots yaa😍
Ga nyangka sih bakal sebagus ini. Aku pikir bakal xoxo aja..ternyata jahitan nya rapi sekali, ukuran 38 normal dan pas bgt Dok aku aku. Boots ya r...",bintang 5,
"Sumpah cakep bngt😍pas di kaki dan enteng bngt, sukaaa sama sepatunya pengiriman jg cepet pokoknya gk nyesel bli disini kemasannya oke walaupun kotaknya penyet tapi sepat...",bintang 5,1 bulan lalu
cakep!! seperti di foto.. pas bgt di kaki.. ringan.. semoga tahan dipakai jalan  jauh,bintang 5,
Bagus banget bahan nya nyaman di pakai🥰🥰,bintang 5,2 minggu lalu
"ukuran sesuai deskripsi,packing aman,kondisi baik",bintang 5,
Beli ukuran 40 sesuai dng ukuran kaki dan pas bgt malah agak sempit sbnrnya. Tp over all bagus bgt,bintang 5,1 bulan lalu
"Bentuk dan ukuran: Bagus elegan mewah
Aroma: Harum
Daya tahan pakai: Tahan lama
Warna: Ivory",bintang 5,1 bulan lalu
"Keren, model stylist, bahan lembut, enak dipakai, ukuran sesuai. Mantaap, semoga awet & banyak koleksi2 bagus lainnya yaa...",bintang 5,
Ini mah bagus aslinya top markotop dehh cepet bgt sampenya✨🙏🏽,bintang 5,3 bulan lalu
keyennnnnn..berasa ala ala anak gaul gitu pake sepatu nya🤭,bintang 5,
"Sepatu nya keren banget, bahannya jg bagus. Pengirimannya cepat banget. Terimakasih😊",bintang 5,7 bulan lalu
"Sepatunya bagus dan ukurannya pas banget di kaki, cuma harus di jait lagi kayanya biar awet",bintang 5,4 bulan lalu
respon dan pelayanan cepat.ukuran dan model bagus. kulit sintetis .harga sesuai dgn barang.,bintang 5,3 bulan lalu
cakep bgt syukaakk nyaman dipakenya cintaa dahh pkonyaa 😍😍😍,bintang 5,5 bulan lalu
"bagus banget ini sumpahan. udah takut kekecilan karena kakiku lebar, tapi ternyata malah pas banget❤️❤️",bintang 5,
produknya sesuai gambar dan bagus nggak ada minusnya sama sekali,bintang 5,
"Yeyyy sdh sampaii,  bahan nya bagus banget, buat kalian yg mau co aku saranin ga usah naikin size ya, ini ukuran nya normal kok seperti biasanya, aku biasa pake 37 dan in...",bintang 5,3 bulan lalu
"Bentuk dan ukuran: Pas
Aroma: Netral
Daya tahan pakai: Cukup
Warna: Cream",bintang 5,4 bulan lalu
"ukuran pas bahannya bangus bangett, pengiriman cepat",bintang 5,
"Akhirnya selama ini ada di.keranjang skrg udah samoe rumah mana cuma sehari lagi pengirimannya..
Keren banget gda yg cacat enaken bahannya jg..",bintang 5,3 bulan lalu
"jelek bgt seller ga tanggung jawab , pdhl kirim barang yg cacat , dikasih tau ngeyel wkwk ga amanah nih toko awas bangkrut wkwk , harusnya bintang 0 sih karna gabisa 1 aj...",bintang 1,4 bulan lalu
Bagus bangetttttttt nyaman juga dipakainya 😍😍😍😍😍,bintang 5,3 minggu lalu
Akhirnya yg di tunggu tunggu sudah datang bagus bnget cuman pas bnget di kaki akunya TPI sip bagus,bintang 5,7 bulan lalu
Bagus bngt cmn syg ad lem nya tpi bagus bngt lain kali beli lagi yg warna putih,bintang 4,6 bulan lalu
"bgsss, ukuran pas, bahan lembut, enak dipake 👍👍👍",bintang 5,
"Alhamdulillah.. Dah nyampe dengan cepat.. 
Rapi banget sepatunya dengan harga 100 ribuan..",bintang 5,5 bulan lalu
Sepatunya bgs tp sayang ada goresan panjang,bintang 4,4 bulan lalu
